Probe Name,Annotation,Accession #,NS Probe ID,Class Name,Analyte Type,% Samples above Threshold,Positive Flag,Class Active,Avg Count,Min Count,Max Count,20220412_209753990323_F12-82408-6_05.RCC,20220412_209753990323_F13-28768-1_02.RCC ,20220412_209753990323_F13-78109-1_09.RCC ,20220412_209753990323_F13-82836-4_04.RCC,20220412_209753990323_F14-08645-3_01.RCC,20220412_209753990323_F14-10362-3_03.RCC,20220412_209753990323_F15-41499-1_10.RCC,20220412_209753990323_F15-85066-4_06.RCC,20220412_209753990323_F16-0040-1_11.RCC,20220412_209753990323_F16-5220-1_08.RCC,20220412_209753990323_PanelStandard1-4745958_12.RCC,20220412_209753990323_f14-07689-1_07.RCC,20220421_209754330323_089-62574_11.RCC,20220421_209754330323_089-79521_10.RCC,20220421_209754330323_F16-2154-3_12.RCC,20220421_209754330323_F18-16288-6-8_04.RCC,20220421_209754330323_F18-32890-3-4_03.RCC,20220421_209754330323_F19-48098-1-2_02.RCC,20220421_209754330323_F19-48476-1-2_01.RCC ,20220421_209754330323_PanelStandard1-4762199_05.RCC 
ATM,,NM_001130828.1,NM_001130828.1:3465,Endogenous,mRNA,100,FALSE,2,907.1,326,1438,638,833,1334,505,396,1385,697,815,509,1260,1061,1395,326,599,802,938,667,1319,1438,1225
ATRX,,XM_014111550.2,XM_014111550.2:4633,Endogenous,mRNA,100,FALSE,2,1581.05,633,3062,872,1896,3062,1279,937,1789,1203,1216,1103,2657,1389,2030,633,1235,1544,1450,987,2373,2470,1496
AXL,,XM_022405907.1,XM_022405907.1:1984,Endogenous,mRNA,100,FALSE,2,1523.6,714,2642,951,1573,2074,1900,1362,714,1004,2351,1446,1450,863,1691,1446,2055,1173,1561,1407,2642,1877,932
B2M,,NM_001284479.1,NM_001284479.1:266,Endogenous,mRNA,100,FALSE,2,17935.85,1547,45938,45938,11394,28970,23157,12781,24546,10885,27425,13317,28175,1547,21355,5579,12207,12199,9321,18021,32674,17646,1580
BATF,,XM_849670.1,XM_849670.1:105,Endogenous,mRNA,100,FALSE,2,181.45,3,1753,16,10,14,4,3,37,13,7,26,68,1567,11,7,14,29,14,15,13,8,1753
BAX,,NM_001003011.1,NM_001003011.1:306,Endogenous,mRNA,100,FALSE,2,767.35,395,1382,918,717,811,571,395,1117,716,569,617,700,1236,615,420,462,634,752,892,1086,737,1382
BCL10,,XM_547304.2,XM_547304.2:684,Endogenous,mRNA,100,FALSE,2,266.15,62,1069,134,121,173,110,62,392,185,114,369,383,1046,118,74,84,234,198,138,162,157,1069
BCL2,,NM_001002949.1,NM_001002949.1:1150,Endogenous,mRNA,100,FALSE,2,959.4,372,1513,645,749,959,997,557,801,722,1107,695,1382,1469,1140,372,779,1105,1090,612,1358,1136,1513
BCL2L1,,NM_001003072.1,NM_001003072.1:391,Endogenous,mRNA,100,FALSE,2,1641.9,730,2601,1716,1641,2170,1907,730,1534,1334,1508,1715,2601,1299,1729,986,1276,2350,2033,1104,1921,1784,1500
BCL6,,NM_001195404.1,NM_001195404.1:45,Endogenous,mRNA,100,FALSE,2,1130.35,407,2565,407,952,687,510,420,2222,816,949,1010,1331,1199,2565,760,545,678,950,1623,1509,2003,1471
BCR,,XM_014108205.2,XM_014108205.2:2710,Endogenous,mRNA,100,FALSE,2,1856.8,399,4275,924,2304,1736,2562,399,985,1324,2352,1391,3121,1293,1027,1187,1867,4275,3774,1369,1363,2416,1467
BHLHE40,,XM_541795.6,XM_541795.6:500,Endogenous,mRNA,100,FALSE,2,948,385,3400,1495,924,703,795,421,703,385,573,1489,1189,742,424,577,1125,1312,819,436,3400,600,848
BID,,NM_001251938.1,NM_001251938.1:585,Endogenous,mRNA,100,FALSE,2,703.55,166,1401,647,503,1401,326,166,1024,769,574,1100,1138,1047,692,225,272,706,633,392,798,618,1040
BIRC5,,NM_001003348.1,NM_001003348.1:350,Endogenous,mRNA,100,FALSE,2,669.55,91,2097,559,814,2097,154,254,1049,434,430,941,1239,686,726,91,195,185,268,235,1524,782,728
BLK,,XM_543206.4,XM_543206.4:1224,Endogenous,mRNA,100,FALSE,2,230.9,8,1285,130,10,77,25,8,450,140,34,334,334,1190,9,52,10,239,175,76,32,8,1285
BLNK,,XM_005637573.3,XM_005637573.3:1103,Endogenous,mRNA,100,FALSE,2,280.3,28,2047,186,85,120,105,59,82,73,69,96,78,1836,137,28,78,96,51,64,209,107,2047
BMI1,,NM_001287063.1,NM_001287063.1:1156,Endogenous,mRNA,100,FALSE,2,2160.95,486,5208,812,2443,5208,1034,961,4074,1505,1799,1442,2967,1835,3165,486,1062,1523,2058,1636,3264,3969,1976
BRAF,,XM_022403736.1,XM_022403736.1:943,Endogenous,mRNA,100,FALSE,2,1063.8,378,2018,378,1502,1362,853,962,1288,816,778,854,1366,1151,1528,402,623,977,985,557,1563,2018,1313
BRCA1,,NM_001013416.1,NM_001013416.1:1779,Endogenous,mRNA,100,FALSE,2,456.75,43,2035,182,155,511,55,75,638,477,113,754,828,1745,161,43,64,426,262,121,284,206,2035
BRCA2,,NM_001006653.4,NM_001006653.4:7960,Endogenous,mRNA,100,FALSE,2,362.1,82,989,229,252,715,139,106,568,327,235,461,485,906,207,82,162,212,248,170,456,293,989
BST1,,XM_545938.6,XM_545938.6:385,Endogenous,mRNA,100,FALSE,2,453.35,177,1174,181,219,410,315,230,454,490,420,445,523,1164,337,177,247,440,504,355,525,457,1174
BST2,,XM_860510.5,XM_860510.5:291,Endogenous,mRNA,100,FALSE,2,1570.7,277,3073,1824,696,1526,779,1699,2144,899,3033,1901,2168,1639,2230,277,858,714,550,2871,3073,793,1740
BTK,,XM_005641566.2,XM_005641566.2:368,Endogenous,mRNA,100,FALSE,2,302.65,78,1508,248,133,277,207,78,199,242,153,133,226,1401,176,100,108,205,151,144,219,145,1508
BTLA,,XM_545097.2,XM_545097.2:675,Endogenous,mRNA,100,FALSE,2,169.2,5,1146,92,21,51,28,5,243,77,19,138,195,1021,6,15,14,162,91,36,14,10,1146
C1QA,,XM_535367.6,XM_535367.6:572,Endogenous,mRNA,100,FALSE,2,912.2,417,1739,571,825,1664,1311,417,1088,458,716,812,1202,1075,1289,493,444,776,592,1015,1739,574,1183
C1QB,,XM_544507.5,XM_544507.5:663,Endogenous,mRNA,100,FALSE,2,2444,656,5419,2461,2565,5419,5303,2043,2187,1023,2923,1826,2459,656,4427,1339,1920,1314,1324,2740,4805,1396,750
C1QBP,,XM_546568.6,XM_546568.6:636,Endogenous,mRNA,100,FALSE,2,2154.7,678,3154,1865,3154,2784,2532,1317,2094,2652,2454,1231,2265,678,2290,1733,2634,2011,2376,2830,2979,2469,746
C1R,,XM_534901.6,XM_534901.6:1940,Endogenous,mRNA,100,FALSE,2,2142.3,564,5842,1106,2782,1087,1349,2210,3557,1442,2747,2102,1121,1120,4645,564,1315,845,1094,3270,5842,3500,1148
C1S,,XM_005637210.3,XM_005637210.3:1065,Endogenous,mRNA,100,FALSE,2,3411.95,388,9074,1979,3637,2108,2417,2339,5954,1553,5003,6446,2781,1298,8363,388,2103,1009,1392,4426,9074,4601,1368
C2,,XM_014118342.2,XM_014118342.2:918,Endogenous,mRNA,100,FALSE,2,721.3,226,1649,408,409,1015,687,337,434,907,706,467,515,1579,574,616,587,226,348,563,1618,781,1649
C3,,XM_022407130.1,XM_022407130.1:3488,Endogenous,mRNA,100,FALSE,2,2542.7,724,6898,1609,1434,3698,4404,1501,724,2359,2257,5146,2931,1536,1868,1164,1956,2990,1746,2711,6898,2298,1624
C3AR1,,XM_005637196.3,XM_005637196.3:1341,Endogenous,mRNA,100,FALSE,2,780.9,251,1744,259,465,880,632,376,1074,980,576,619,801,1628,686,251,285,667,672,913,1469,641,1744
C4BPA,,XM_003434950.4,XM_003434950.4:1541,Endogenous,mRNA,100,FALSE,2,393.2,12,1749,144,32,137,55,12,863,443,67,673,658,1646,19,125,46,575,332,171,49,68,1749
C5,,XM_022425033.1,XM_022425033.1:1280,Endogenous,mRNA,100,FALSE,2,177,9,1092,36,16,60,27,13,239,89,33,239,248,1042,9,45,12,183,89,47,11,10,1092
C6,,XM_022417885.1,XM_022417885.1:1562,Endogenous,mRNA,100,FALSE,2,260.65,37,1456,86,43,126,93,66,285,158,75,342,248,1341,37,89,87,250,148,100,106,77,1456
C7,,XM_022417892.1,XM_022417892.1:1592,Endogenous,mRNA,100,FALSE,2,340.95,71,1176,559,71,120,165,218,303,255,545,319,355,1118,113,146,201,240,233,101,205,376,1176
C8A,,XM_003639022.3,XM_003639022.3:1431,Endogenous,mRNA,100,FALSE,2,164.35,4,1582,10,9,22,17,10,12,15,19,12,13,1431,12,6,23,4,12,23,27,28,1582
C8B,,XM_536694.6,XM_536694.6:952,Endogenous,mRNA,100,FALSE,2,287.95,5,1895,54,20,76,41,5,394,237,55,225,368,1689,18,61,19,282,180,98,37,5,1895
C8G,,XM_014116920.2,XM_014116920.2:393,Endogenous,mRNA,100,FALSE,2,134.35,14,1025,38,22,49,21,14,102,68,21,50,73,901,17,23,32,71,70,26,32,32,1025
C9,,XM_005619370.3,XM_005619370.3:1655,Endogenous,mRNA,100,FALSE,2,259.1,5,1562,57,16,75,33,5,370,164,33,408,352,1476,10,53,13,289,161,73,19,13,1562
CALHM6,,XM_850260.5,XM_850260.5:602,Endogenous,mRNA,100,FALSE,2,269.7,29,1300,93,139,181,167,29,295,194,113,127,244,1167,95,146,89,279,281,175,168,112,1300
CAMP,,NM_001003359.1,NM_001003359.1:370,Endogenous,mRNA,100,FALSE,2,98.15,12,750,32,41,21,20,13,29,29,38,19,22,750,25,12,43,14,23,31,34,28,739
CARD11,,XM_005621150.3,XM_005621150.3:2920,Endogenous,mRNA,100,FALSE,2,102,12,699,56,43,53,40,34,24,43,38,12,46,615,35,15,34,47,49,45,57,55,699
CARD9,,XM_844178.1,XM_844178.1:349,Endogenous,mRNA,100,FALSE,2,307.75,93,1155,175,189,305,93,147,417,240,113,245,342,1051,175,130,137,361,254,252,173,201,1155
CASP10,,XM_005640530.3,XM_005640530.3:1415,Endogenous,mRNA,100,FALSE,2,292.5,107,1013,268,162,313,167,147,279,226,155,291,316,926,224,107,129,206,211,213,297,200,1013
CASP3,,NM_001003042.1,NM_001003042.1:815,Endogenous,mRNA,100,FALSE,2,712.65,184,1338,355,1066,807,348,534,1338,694,414,616,723,1191,1069,184,280,418,402,393,960,1202,1259
CASP8,,NM_001048029.1,NM_001048029.1:1005,Endogenous,mRNA,100,FALSE,2,170.95,15,1030,75,21,72,44,19,221,107,24,188,190,1022,18,36,17,130,86,54,50,15,1030
CCL1,,NM_001005252.1,NM_001005252.1:102,Endogenous,mRNA,100,FALSE,2,95,13,642,22,16,30,21,13,75,45,34,60,42,593,17,42,34,62,59,49,26,18,642
CCL13,,NM_001003966.1,NM_001003966.1:179,Endogenous,mRNA,100,FALSE,2,337.2,110,1160,249,213,264,180,110,448,315,214,317,399,1042,213,119,158,364,280,180,274,245,1160
CCL14,,XM_537723.6,XM_537723.6:200,Endogenous,mRNA,100,FALSE,2,321.3,45,1778,148,152,463,74,58,459,183,45,187,241,1541,83,86,59,244,145,126,309,45,1778
CCL16,,XM_537724.6,XM_537724.6:275,Endogenous,mRNA,100,FALSE,2,202.1,3,1249,58,20,82,45,3,319,169,28,165,202,1111,10,37,30,247,150,76,28,13,1249
CCL17,,NM_001003051.1,NM_001003051.1:99,Endogenous,mRNA,100,FALSE,2,324.85,38,1575,150,150,127,158,38,375,255,87,516,391,1474,70,79,75,383,273,192,67,62,1575
CCL19,,NM_001005256.1,NM_001005256.1:100,Endogenous,mRNA,100,FALSE,2,243.4,4,1382,365,23,97,30,4,256,120,40,204,197,1263,325,71,42,159,145,89,45,11,1382
CCL2,,NM_001003297.1,NM_001003297.1:39,Endogenous,mRNA,100,FALSE,2,586.55,162,1515,1515,315,660,290,461,187,322,285,1350,417,1173,508,330,352,162,188,362,1233,424,1197
CCL20,,NM_001005254.1,NM_001005254.1:81,Endogenous,mRNA,100,FALSE,2,262.55,4,1569,224,24,77,39,4,422,119,29,398,366,1473,14,37,22,224,122,57,16,15,1569
CCL21,,NM_001005258.1,NM_001005258.1:157,Endogenous,mRNA,100,FALSE,2,188.35,5,1249,1249,13,25,19,5,111,34,7,85,96,899,10,23,37,71,41,20,17,11,994
CCL22,,XM_003433778.2,XM_003433778.2:646,Endogenous,mRNA,100,FALSE,2,246.75,4,1521,54,31,79,35,4,294,192,47,242,353,1365,14,120,18,224,216,94,24,8,1521
CCL23,,XM_537722.6,XM_537722.6:290,Endogenous,mRNA,100,FALSE,2,1658.2,345,5365,962,1905,3356,1954,1290,1831,345,1048,1097,1927,1302,5365,372,1381,1135,754,1004,3440,1327,1369
CCL24,,NM_001003967.1,NM_001003967.1:60,Endogenous,mRNA,100,FALSE,2,254.05,6,1468,66,19,317,44,6,325,167,29,239,263,1389,29,72,13,226,142,87,144,36,1468
CCL25,,NM_001005259.1,NM_001005259.1:192,Endogenous,mRNA,100,FALSE,2,308.95,41,1301,79,64,210,110,93,602,256,82,362,347,1198,203,41,69,314,275,193,119,261,1301
CCL26,,NM_001005253.1,NM_001005253.1:71,Endogenous,mRNA,95,FALSE,2,227.85,1,1653,40,10,71,18,1,265,130,28,243,252,1416,12,34,7,201,101,52,17,6,1653
CCL27,,NM_001003968.1,NM_001003968.1:99,Endogenous,mRNA,100,FALSE,2,108.45,29,535,66,38,75,43,29,98,56,37,97,97,513,37,45,64,68,83,69,50,69,535
CCL28,,NM_001005257.1,NM_001005257.1:169,Endogenous,mRNA,100,FALSE,2,192.7,4,1034,45,19,68,34,4,351,162,39,270,317,977,11,48,7,233,130,65,26,14,1034
CCL3,,NM_001005251.1,NM_001005251.1:111,Endogenous,mRNA,100,FALSE,2,315.5,21,2000,246,64,171,41,25,435,197,67,233,238,1747,60,66,21,256,203,118,73,49,2000
CCL4,,NM_001005250.1,NM_001005250.1:15,Endogenous,mRNA,100,FALSE,2,174.25,12,1370,323,34,40,15,15,19,12,23,31,23,1334,34,22,28,14,15,53,44,36,1370
CCL5,,NM_001003010.2,NM_001003010.2:170,Endogenous,mRNA,100,FALSE,2,422.35,57,3552,3552,114,146,157,57,177,92,126,102,124,1134,490,79,135,92,62,151,269,166,1222
CCL7,,NM_001010960.1,NM_001010960.1:88,Endogenous,mRNA,100,FALSE,2,204.5,5,1534,103,26,116,5,21,139,10,23,216,211,1323,45,51,30,92,51,37,44,13,1534
CCL8,,NM_001005255.1,NM_001005255.1:36,Endogenous,mRNA,100,FALSE,2,188.75,8,1669,137,11,51,17,8,12,17,23,29,13,1597,26,25,19,19,11,29,34,28,1669
CCND1,,NM_001005757.1,NM_001005757.1:785,Endogenous,mRNA,100,FALSE,2,982.25,141,2577,1520,1295,231,302,1098,1122,917,929,587,1747,1133,475,141,250,536,732,1172,2577,1594,1287
CCND2,,XM_849493.1,XM_849493.1:328,Endogenous,mRNA,100,FALSE,2,9455.5,1590,40045,3103,13746,2102,4884,7517,6673,18549,11222,11325,4466,1590,12731,2640,4645,6259,10856,7851,17251,40045,1655
CCND3,,XM_859764.3,XM_859764.3:650,Endogenous,mRNA,100,FALSE,2,1080.7,363,1873,695,1315,1387,589,381,1585,836,846,973,1486,1461,955,363,740,818,1092,1167,1451,1873,1601
CCR1,,NM_001038606.1,NM_001038606.1:235,Endogenous,mRNA,100,FALSE,2,437.6,132,1083,413,271,409,398,249,577,441,298,480,503,1029,265,320,132,434,301,380,543,226,1083
CCR10,,XM_844228.3,XM_844228.3:506,Endogenous,mRNA,100,FALSE,2,122,4,839,23,10,31,14,4,130,72,13,109,105,780,9,77,23,77,60,42,10,12,839
CCR2,,XM_541906.1,XM_541906.1:987,Endogenous,mRNA,100,FALSE,2,232.7,12,1295,76,13,75,35,12,452,166,40,290,264,1121,104,62,79,245,144,93,69,19,1295
CCR3,,NM_001005261.1,NM_001005261.1:515,Endogenous,mRNA,100,FALSE,2,245.8,5,1552,53,18,60,23,5,457,174,34,320,286,1368,17,42,11,213,143,94,36,10,1552
CCR4,,NM_001003020.1,NM_001003020.1:865,Endogenous,mRNA,100,FALSE,2,265.8,3,1667,69,19,96,30,3,408,229,38,190,363,1491,13,98,8,287,152,112,32,11,1667
CCR5,,NM_001012342.2,NM_001012342.2:1060,Endogenous,mRNA,100,FALSE,2,292.35,68,904,212,135,197,171,68,482,352,198,311,352,785,158,142,81,342,279,241,297,140,904
CCR6,,XM_846017.4,XM_846017.4:659,Endogenous,mRNA,100,FALSE,2,329.2,53,1927,157,89,185,117,53,355,191,122,246,305,1700,67,88,160,266,171,148,120,117,1927
CCR7,,XM_548131.2,XM_548131.2:335,Endogenous,mRNA,100,FALSE,2,245.2,3,1629,220,22,68,28,3,273,134,28,290,255,1551,10,30,12,164,112,54,16,5,1629
CCR9,,NM_001284476.1,NM_001284476.1:660,Endogenous,mRNA,100,FALSE,2,264.75,7,1380,63,22,94,55,7,552,244,57,331,320,1351,10,93,13,289,219,156,32,7,1380
CCRL2,,XM_541904.5,XM_541904.5:575,Endogenous,mRNA,100,FALSE,2,405.2,55,1903,120,184,156,86,55,871,349,118,515,529,1666,140,104,55,385,255,233,298,82,1903
CD14,,XM_843653.5,XM_843653.5:1485,Endogenous,mRNA,100,FALSE,2,595.25,204,1138,290,388,870,1138,204,495,734,409,486,628,979,562,594,527,510,489,445,759,362,1036
CD160,,XM_005630717.1,XM_005630717.1:220,Endogenous,mRNA,100,FALSE,2,157.45,8,971,83,16,42,34,10,256,106,26,250,156,836,8,29,14,126,109,38,27,12,971
CD163,,NM_001048020.1,NM_001048020.1:1235,Endogenous,mRNA,100,FALSE,2,291,67,1177,120,105,544,208,86,350,140,81,316,314,1046,145,67,104,210,172,113,455,67,1177
CD164,,XM_532256.6,XM_532256.6:535,Endogenous,mRNA,100,FALSE,2,1992.15,735,3256,2661,2362,2467,1339,735,2811,1904,1799,2257,3256,1204,2005,1396,1322,2124,1853,1831,2974,2155,1388
CD180,,XM_544362.6,XM_544362.6:1324,Endogenous,mRNA,100,FALSE,2,443.25,123,1495,188,274,434,257,126,543,360,162,547,629,1414,334,123,164,530,291,258,452,284,1495
CD19,,XM_005621381.3,XM_005621381.3:819,Endogenous,mRNA,100,FALSE,2,135.05,4,1243,181,7,17,13,4,29,12,11,32,24,1044,8,9,9,19,8,15,10,6,1243
CD1A6,,NM_001128837.1,NM_001128837.1:360,Endogenous,mRNA,100,FALSE,2,320.25,11,1890,116,36,92,42,11,720,322,46,362,298,1803,37,46,13,228,156,108,54,25,1890
CD1B,,NM_001130830.1,NM_001130830.1:354,Endogenous,mRNA,100,FALSE,2,190.45,7,930,41,28,56,38,7,497,297,49,241,197,830,16,74,22,171,129,114,47,25,930
CD1C,,NM_001128836.1,NM_001128836.1:425,Endogenous,mRNA,100,FALSE,2,122.3,5,711,42,25,45,18,5,293,120,26,148,112,591,21,26,9,113,58,49,20,14,711
CD1D,,XM_005640956.2,XM_005640956.2:372,Endogenous,mRNA,100,FALSE,2,193.25,15,872,123,28,117,51,15,409,301,74,236,185,794,41,90,21,173,116,153,51,15,872
CD1E,,XM_005640914.2,XM_005640914.2:600,Endogenous,mRNA,100,FALSE,2,191.25,12,1230,36,17,68,24,12,369,164,37,212,179,1107,23,20,12,113,93,48,41,20,1230
CD2,,XM_844126.1,XM_844126.1:505,Endogenous,mRNA,100,FALSE,2,304.5,54,1020,482,132,428,149,100,471,315,117,396,315,899,157,54,74,253,162,136,301,129,1020
CD200,,XM_005639479.2,XM_005639479.2:1672,Endogenous,mRNA,100,FALSE,2,430.9,107,1425,280,171,354,364,107,506,176,306,370,672,1333,325,126,216,615,332,305,262,373,1425
CD207,,XM_850409.2,XM_850409.2:463,Endogenous,mRNA,100,FALSE,2,262,9,1582,41,23,96,27,10,498,263,33,314,287,1428,9,41,11,296,140,89,38,14,1582
CD209,,NM_001130832.1,NM_001130832.1:249,Endogenous,mRNA,100,FALSE,2,523.95,89,1908,943,293,406,89,162,905,264,275,374,388,1556,514,97,265,304,359,615,401,361,1908
CD22,,XM_862798.3,XM_862798.3:1905,Endogenous,mRNA,100,FALSE,2,312.15,59,1521,511,100,155,118,59,395,197,71,193,290,1426,79,95,72,313,234,158,186,70,1521
CD244,,XM_005640944.1,XM_005640944.1:1350,Endogenous,mRNA,100,FALSE,2,213.75,8,1885,27,28,31,28,11,137,63,25,58,86,1661,14,8,14,65,32,32,46,24,1885
CD247,,XM_005622970.1,XM_005622970.1:383,Endogenous,mRNA,100,FALSE,2,124.8,12,460,84,107,77,226,20,18,56,109,36,118,460,58,12,164,107,135,35,68,148,458
